latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.9244285,107.60539,707.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2022-06-01,0.20,26.8,17.8,10.5,0.20,0.342
2022-06-02,0.90,26.8,18.1,9.7,0.90,0.341
2022-06-03,0.00,27.7,17.3,10.5,0.00,0.342
2022-06-04,2.20,27.2,17.4,10.5,2.20,0.340
2022-06-05,1.10,26.4,18.1,10.0,1.10,0.339
2022-06-06,11.10,25.1,17.4,7.6,11.10,0.337
2022-06-07,1.40,28.2,17.5,9.9,1.40,0.342
2022-06-08,10.50,26.5,17.1,7.3,10.50,0.340
2022-06-09,1.90,25.5,18.2,12.6,1.90,0.338
2022-06-10,0.40,28.5,16.3,11.4,0.40,0.339
2022-06-11,8.40,27.4,17.4,9.3,8.40,0.337
2022-06-12,2.40,27.0,17.0,10.1,2.40,0.334
2022-06-13,11.50,25.6,16.9,8.4,11.50,0.336
2022-06-14,3.20,26.6,17.8,8.8,3.20,0.334
2022-06-15,1.70,26.0,18.5,6.7,1.70,0.329
2022-06-16,1.80,27.5,17.2,7.9,1.80,0.327
2022-06-17,0.60,25.6,18.5,6.1,0.60,0.328
2022-06-18,0.60,27.4,17.5,11.7,0.60,0.327
2022-06-19,1.30,27.4,16.2,10.0,1.30,0.325
2022-06-20,1.60,27.8,18.8,9.6,1.60,0.323
2022-06-21,0.00,27.5,18.9,15.5,0.00,0.324
2022-06-22,1.70,28.0,18.8,12.5,1.70,0.321
2022-06-23,0.50,28.0,16.2,12.1,0.50,0.319
2022-06-24,5.70,26.5,18.9,16.0,5.70,0.319
2022-06-25,3.60,27.0,18.9,11.3,3.60,0.321
2022-06-26,4.60,25.9,18.1,12.0,4.60,0.321
2022-06-27,1.90,26.3,19.6,14.3,1.90,0.323
2022-06-28,0.30,27.1,19.5,15.2,0.30,0.320
2022-06-29,0.00,28.0,17.5,12.1,0.00,0.315
2022-06-30,0.00,27.0,15.9,11.9,0.00,0.311
2022-07-01,0.00,27.4,16.4,15.7,0.00,0.310
2022-07-02,1.30,28.0,18.9,12.3,1.30,0.308
2022-07-03,2.10,27.5,18.2,9.4,2.10,0.305
2022-07-04,2.30,28.8,17.9,7.2,2.30,0.304
2022-07-05,0.70,28.5,17.1,9.2,0.70,0.300
2022-07-06,0.60,25.5,17.8,9.0,0.60,0.297
2022-07-07,0.00,28.9,17.9,11.3,0.00,0.292
2022-07-08,0.00,28.4,16.2,9.5,0.00,0.288
2022-07-09,0.00,27.5,15.9,12.0,0.00,0.286
2022-07-10,1.70,27.2,16.7,16.5,1.70,0.284
2022-07-11,0.30,28.5,16.1,10.2,0.30,0.281
2022-07-12,4.10,28.0,20.1,13.4,4.10,0.279
2022-07-13,10.80,25.4,19.3,6.9,10.80,0.285
2022-07-14,0.30,28.2,19.2,7.6,0.30,0.301
